Temperature -      + Field,Resistivity  (Ohms x cm) -      + Field,Temperature - Zero Field,Resistivity  (Ohms x cm) - Zero Field,Temperature -       - Field,Resistivity  (Ohms x cm) -       - Field
96,2.00E+03,97.3,1.40E+03,98.6,2.00E+03
100.2,2.10E+03,101.5,1.50E+03,102.8,2.00E+03
104.4,2.10E+03,105.7,1.50E+03,107,2.10E+03
108.7,2.20E+03,110.1,1.60E+03,111.4,2.20E+03
113,2.30E+03,114.3,1.70E+03,115.5,2.30E+03
117.2,2.40E+03,118.5,1.80E+03,119.8,2.40E+03
121.4,2.50E+03,122.7,1.90E+03,123.9,2.50E+03
125.5,2.60E+03,127,2.00E+03,128.3,2.60E+03
130,2.70E+03,131.3,2.10E+03,132.6,2.70E+03
134.3,2.90E+03,135.6,2.20E+03,137.1,2.80E+03
138.7,3.00E+03,140.2,2.30E+03,141.4,3.00E+03
143,3.10E+03,144.3,2.40E+03,145.7,3.10E+03
147.3,3.20E+03,148.6,2.50E+03,150,3.20E+03
151.6,3.40E+03,152.9,2.60E+03,154.3,3.40E+03
155.9,3.50E+03,157.2,2.80E+03,158.6,3.50E+03
160.3,3.60E+03,161.6,2.90E+03,162.9,3.60E+03
164.6,3.70E+03,165.9,3.00E+03,167.2,3.70E+03
168.8,3.90E+03,170.2,3.10E+03,171.6,3.90E+03
173.3,4.00E+03,174.6,3.30E+03,176,4.00E+03
177.7,4.20E+03,179.1,3.40E+03,180.1,4.20E+03
181.7,4.40E+03,183,3.60E+03,184.2,4.40E+03
185.8,4.50E+03,187.1,3.80E+03,188.5,4.50E+03
190.1,4.70E+03,191.4,3.90E+03,192.4,4.70E+03
193.9,4.90E+03,195.2,4.10E+03,196.6,4.90E+03
198.4,5.10E+03,199.9,4.30E+03,201.4,5.10E+03
203.1,5.30E+03,204.7,4.50E+03,206.1,5.30E+03
207.9,5.50E+03,209.4,4.70E+03,210.9,5.50E+03
212.6,5.70E+03,214.1,4.90E+03,215.6,5.70E+03
217.4,5.90E+03,218.9,5.10E+03,220.4,6.00E+03
222.2,6.20E+03,223.7,5.40E+03,225.2,6.20E+03
226.9,6.40E+03,228.4,5.60E+03,229.9,6.50E+03
231.7,6.70E+03,233.1,5.90E+03,234.6,6.70E+03
236.4,6.90E+03,237.9,6.10E+03,239.4,6.90E+03
241.1,7.00E+03,242.6,6.20E+03,244.1,7.00E+03
245.9,7.00E+03,247.4,6.20E+03,248.9,6.80E+03
250.6,6.80E+03,252.1,5.90E+03,253.6,6.40E+03
255.4,6.20E+03,256.9,5.30E+03,258.4,5.70E+03
260.1,5.30E+03,261.6,4.50E+03,263.1,4.70E+03
264.9,4.30E+03,266.4,3.60E+03,267.9,3.70E+03
269.6,3.30E+03,271,2.80E+03,272.6,2.80E+03
274.4,2.50E+03,275.8,2.10E+03,277.3,2.10E+03
279.1,1.90E+03,280.6,1.60E+03,282.1,1.60E+03
283.8,1.50E+03,285.3,1.30E+03,286.8,1.20E+03
288.6,1.10E+03,290.1,9.60E+02,291.5,9.50E+02
293.4,8.50E+02,294.9,7.50E+02,296.4,7.30E+02
298.1,6.70E+02,299.6,5.80E+02,301.2,5.70E+02
303.1,5.10E+02,304.8,4.50E+02,306.2,4.40E+02
308.1,4.00E+02,309.6,3.60E+02,311.1,3.50E+02
312.9,3.20E+02,314.4,2.90E+02,316,2.80E+02
317.8,2.60E+02,319.2,2.30E+02,320.8,2.30E+02
322.6,2.10E+02,324.1,1.90E+02,325.6,1.80E+02
327.4,1.70E+02,328.9,1.50E+02,330.4,1.50E+02
332.1,1.40E+02,333.6,1.30E+02,335.1,1.20E+02
336.9,1.10E+02,338.4,1.00E+02,339.9,1.00E+02
341.7,9.70E+01,343.2,8.90E+01,344.7,8.80E+01
346.5,7.90E+01,347.9,7.20E+01,349.5,7.20E+01
