Temperature -      + Field,Resistivity  (Ohms x cm) -      + Field,Temperature - Zero Field,Resistivity  (Ohms x cm) - Zero Field,Temperature -       - Field,Resistivity  (Ohms x cm) -       - Field
96.1,1.30E+03,97.4,8.70E+02,98.6,1.30E+03
100.3,1.40E+03,101.7,9.40E+02,102.9,1.40E+03
104.6,1.50E+03,105.9,1.00E+03,107.2,1.50E+03
108.8,1.60E+03,110.2,1.10E+03,111.6,1.60E+03
113.2,1.70E+03,114.5,1.20E+03,115.8,1.70E+03
117.3,1.80E+03,118.6,1.30E+03,119.9,1.80E+03
121.5,2.00E+03,122.8,1.40E+03,124.1,1.90E+03
125.6,2.10E+03,127,1.50E+03,128.3,2.10E+03
130,2.20E+03,131.3,1.60E+03,132.7,2.20E+03
134.4,2.40E+03,135.7,1.70E+03,137.1,2.40E+03
138.7,2.50E+03,140,1.90E+03,141.3,2.50E+03
143.1,2.60E+03,144.5,2.00E+03,145.8,2.60E+03
147.2,2.80E+03,148.4,2.10E+03,149.8,2.80E+03
151.4,2.90E+03,152.8,2.30E+03,154,3.00E+03
155.8,3.10E+03,157.2,2.40E+03,158.5,3.10E+03
160,3.30E+03,161.3,2.50E+03,162.6,3.30E+03
164.2,3.40E+03,165.4,2.70E+03,166.7,3.40E+03
168.3,3.60E+03,169.6,2.80E+03,171,3.60E+03
172.6,3.70E+03,174,3.00E+03,175.3,3.80E+03
177,3.90E+03,178.4,3.20E+03,179.7,4.00E+03
181.3,4.10E+03,182.6,3.40E+03,184,4.10E+03
185.7,4.30E+03,187.1,3.60E+03,188.5,4.40E+03
190.1,4.50E+03,191.5,3.80E+03,192.8,4.60E+03
194.4,4.70E+03,195.7,4.00E+03,197.2,4.80E+03
198.9,5.00E+03,200.4,4.20E+03,201.9,5.00E+03
203.7,5.20E+03,205.2,4.40E+03,206.7,5.30E+03
208.4,5.50E+03,210,4.70E+03,211.5,5.50E+03
213.2,5.70E+03,214.8,4.90E+03,216.2,5.80E+03
218.1,6.00E+03,219.6,5.20E+03,221,6.00E+03
222.9,6.20E+03,224.3,5.40E+03,225.8,6.30E+03
227.6,6.50E+03,229.1,5.70E+03,230.6,6.50E+03
232.4,6.70E+03,233.8,5.90E+03,235.4,6.70E+03
237.1,6.90E+03,238.7,6.10E+03,240.1,6.90E+03
241.9,7.00E+03,243.4,6.20E+03,245,6.90E+03
246.8,7.00E+03,248.4,6.10E+03,249.9,6.80E+03
251.6,6.70E+03,253.1,5.80E+03,254.7,6.30E+03
256.5,6.00E+03,258,5.20E+03,259.4,5.50E+03
260.7,5.20E+03,262,4.50E+03,263.2,4.70E+03
264.9,4.30E+03,266.2,3.60E+03,267.8,3.70E+03
269.7,3.30E+03,271.1,2.80E+03,272.6,2.80E+03
274.4,2.50E+03,275.9,2.10E+03,277.4,2.10E+03
279.1,1.90E+03,280.6,1.60E+03,282.1,1.60E+03
283.9,1.50E+03,285.3,1.20E+03,286.9,1.20E+03
288.6,1.10E+03,290.1,9.60E+02,291.6,9.40E+02
293.4,8.60E+02,295,7.40E+02,296.4,7.30E+02
298.2,6.60E+02,299.8,5.80E+02,301.2,5.70E+02
303.2,5.10E+02,304.8,4.50E+02,306.4,4.40E+02
308.1,4.00E+02,309.6,3.60E+02,311.2,3.50E+02
313,3.20E+02,314.6,2.90E+02,316.1,2.80E+02
317.9,2.60E+02,319.4,2.30E+02,321,2.20E+02
322.8,2.10E+02,324.3,1.90E+02,325.8,1.80E+02
327.6,1.70E+02,329.1,1.50E+02,330.6,1.50E+02
332.4,1.40E+02,333.9,1.20E+02,335.4,1.20E+02
337.1,1.10E+02,338.7,1.00E+02,340.2,1.00E+02
342.1,9.40E+01,343.6,8.60E+01,345.1,8.30E+01
346.9,7.80E+01,348.5,7.10E+01,350.1,6.90E+01
