Temperature (K),B-Field (Gauss),sample I AB,sample I AD,sample I AC,sample I BD,sample I -AB,sample I -AD,sample I -AC,sample I -BD,Voltage DC,Voltage BC,Voltage BD,Voltage AC,Voltage -DC,Voltage -BC,Voltage -BD,Voltage -AC
96.02,-4580,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0015483,0.0021125,0.0051124,0.0045221,-0.002377,-0.002848,-0.0056244,-0.0047275
97.315,-35.5400009,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.001034,0.0013364,0.0000546,-0.0003296,-0.0018321,-0.0020358,-0.0005395,0.0000825
98.55,4579,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.001635,0.0019314,-0.0048386,-0.0054933,-0.0024449,-0.0026207,0.0043868,0.0052515
100.21,-4592,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0016103,0.0021899,0.0051691,0.0045335,-0.0024414,-0.0029275,-0.0056526,-0.0047447
101.485,-31,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.001091,0.001403,0.0000675,-0.0003491,-0.0018925,-0.0021063,-0.0005341,0.0000958
102.805,4577,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0017096,0.0020197,-0.0048259,-0.005523,-0.002519,-0.0027074,0.0043857,0.0052673
104.36,-4591,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0016837,0.0022835,0.0051973,0.004522,-0.0025165,-0.0030189,-0.0056719,-0.0047448
105.65,-30.6800003,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0011553,0.0014855,0.000086,-0.0003667,-0.0019596,-0.0021859,-0.0005433,0.0001037
107.005,4574,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0017897,0.0021181,-0.0048185,-0.0055497,-0.0026037,-0.0028052,0.0043834,0.0052897
108.655,-4589,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0017741,0.0023911,0.0052335,0.0045154,-0.0025966,-0.0031135,-0.0056895,-0.0047417
110.105,-30.4799995,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0012328,0.0015809,0.0001009,-0.0003849,-0.0020378,-0.0022733,-0.000555,0.0001153
111.415,4574,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0018819,0.0022308,-0.0048071,-0.0055797,-0.002693,-0.0029114,0.0043804,0.0053193
112.96,-4589,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0018714,0.0025054,0.0052643,0.0045093,-0.0026913,-0.0032225,-0.0057212,-0.0047381
114.265,-30.2000008,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0013141,0.0016749,0.0001188,-0.0003993,-0.0021164,-0.0023692,-0.0005707,0.0001258
115.535,4574,0.000005,0.000005,0.000005,0.000005,-0.000005,-0.000005,-0.000005,-0.000005,0.0019746,0.0023406,-0.0048029,-0.0056199,-0.002786,-0.0030227,0.0043754,0.005346
