Tue, Mar 04, 2025
3:26:28 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0600000	-4605.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025407	0.0029092	0.0097019	0.0090346	-0.0024111	-0.0035388	-0.0108893	-0.0096526
97.3550000	-30.2900009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017428	0.0017343	-0.0001528	-0.0005420	-0.0016796	-0.0022819	-0.0008807	-0.0000957
98.5550000	4592.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027211	0.0026385	-0.0098124	-0.0106481	-0.0026018	-0.0031489	0.0087664	0.0099374
100.2050000	-4604.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027086	0.0031372	0.0097996	0.0090428	-0.0026042	-0.0037671	-0.0109672	-0.0096585
101.5200000	-30.0799999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0018770	0.0019057	-0.0001207	-0.0005648	-0.0018349	-0.0024577	-0.0009033	-0.0000700
102.8300000	4591.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029035	0.0028653	-0.0098066	-0.0107064	-0.0028108	-0.0033788	0.0087767	0.0100199
104.3800000	-4603.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028941	0.0033764	0.0098891	0.0090540	-0.0028079	-0.0039958	-0.0110266	-0.0096527
105.6500000	-30.0100002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020262	0.0020879	-0.0000884	-0.0005870	-0.0019943	-0.0026419	-0.0009316	-0.0000339
107.0100000	4589.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030976	0.0031028	-0.0098005	-0.0107764	-0.0030195	-0.0036165	0.0087849	0.0101066
108.6150000	-4602.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030974	0.0036270	0.0099727	0.0090606	-0.0030224	-0.0042412	-0.0110941	-0.0096459
110.0450000	-30.0400009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021972	0.0022934	-0.0000493	-0.0006122	-0.0021725	-0.0028452	-0.0009559	-0.0000022
111.3050000	4587.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033111	0.0033565	-0.0097951	-0.0108431	-0.0032439	-0.0038739	0.0087858	0.0101863
112.8300000	-4601.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033095	0.0038895	0.0100550	0.0090597	-0.0032500	-0.0045022	-0.0111573	-0.0096418
114.1850000	-29.9599991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0023660	0.0025054	-0.0000115	-0.0006408	-0.0023533	-0.0030525	-0.0009863	0.0000310
115.4250000	4586.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035266	0.0036145	-0.0097857	-0.0109225	-0.0034781	-0.0041374	0.0087898	0.0102709
116.9950000	-4598.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035296	0.0041592	0.0101411	0.0090558	-0.0034837	-0.0047702	-0.0112303	-0.0096365
118.4400000	-29.9899998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025533	0.0027254	0.0000261	-0.0006738	-0.0025488	-0.0032835	-0.0010202	0.0000652
119.7400000	4585.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037594	0.0038933	-0.0097811	-0.0110012	-0.0037192	-0.0044224	0.0087820	0.0103554
121.2750000	-4598.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037709	0.0044589	0.0102370	0.0090529	-0.0037277	-0.0050566	-0.0113070	-0.0096274
122.5600000	-30.3400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027515	0.0029609	0.0000678	-0.0007046	-0.0027441	-0.0035134	-0.0010570	0.0001057
123.8250000	4584.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039910	0.0041696	-0.0097687	-0.0110774	-0.0039686	-0.0047129	0.0087708	0.0104410
125.4000000	-4596.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040009	0.0047412	0.0103175	0.0090421	-0.0039815	-0.0053520	-0.0113858	-0.0096179
126.8300000	-30.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029597	0.0032107	0.0001057	-0.0007433	-0.0029660	-0.0037711	-0.0010926	0.0001488
128.0900000	4583.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042455	0.0044746	-0.0097509	-0.0111588	-0.0042278	-0.0050143	0.0087682	0.0105304
