Wed, Mar 05, 2025
3:34:11 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0500000	-4621.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0127583	0.0161902	0.0512277	0.0465699	-0.0126646	-0.0168704	-0.0524410	-0.0472578
97.3650000	-30.4899998	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0088312	0.0100838	0.0013852	-0.0015278	-0.0087917	-0.0106578	-0.0024165	0.0008186
98.6150000	4606.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0136706	0.0146070	-0.0471532	-0.0521958	-0.0136013	-0.0151728	0.0461231	0.0514424
100.2950000	-4618.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0136790	0.0173598	0.0516795	0.0465962	-0.0136186	-0.0180450	-0.0528588	-0.0472779
101.6800000	-30.0599995	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0095997	0.0110058	0.0015401	-0.0016609	-0.0095718	-0.0115769	-0.0025586	0.0009685
102.9300000	4604.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0146660	0.0157790	-0.0471641	-0.0525677	-0.0146223	-0.0163585	0.0461442	0.0518411
104.5800000	-4616.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0146824	0.0185816	0.0520836	0.0466171	-0.0146435	-0.0192592	-0.0532408	-0.0472839
105.9450000	-30.1000004	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0103881	0.0119250	0.0016722	-0.0017814	-0.0103879	-0.0125185	-0.0026933	0.0011020
107.1950000	4602.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0157036	0.0169879	-0.0471544	-0.0529119	-0.0156815	-0.0175781	0.0461402	0.0522095
108.8250000	-4615.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0157517	0.0198483	0.0524509	0.0466226	-0.0157239	-0.0205304	-0.0535930	-0.0472713
110.2100000	-30.1200008	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0112385	0.0129377	0.0018366	-0.0019251	-0.0112479	-0.0135372	-0.0028473	0.0012617
111.5950000	4600.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0168114	0.0182997	-0.0471381	-0.0533033	-0.0168123	-0.0188985	0.0461414	0.0526186
113.1500000	-4613.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0168587	0.0211954	0.0528703	0.0466069	-0.0168487	-0.0218766	-0.0539985	-0.0472520
114.5100000	-30.0400009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0121495	0.0140251	0.0020119	-0.0020928	-0.0121726	-0.0146269	-0.0030169	0.0014272
115.7500000	4599.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0179202	0.0196059	-0.0471068	-0.0536889	-0.0179362	-0.0202128	0.0461177	0.0530187
117.3200000	-4611.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0179771	0.0225396	0.0532528	0.0465788	-0.0179931	-0.0232234	-0.0543710	-0.0472245
118.6200000	-30.0200005	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0130748	0.0151281	0.0021946	-0.0022621	-0.0131092	-0.0157312	-0.0031873	0.0016016
119.8900000	4597.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0190668	0.0209578	-0.0470752	-0.0540979	-0.0191077	-0.0215859	0.0460898	0.0534243
121.4650000	-4610.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0191495	0.0239408	0.0536549	0.0465468	-0.0191749	-0.0246291	-0.0547544	-0.0471775
122.7850000	-30.0799999	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0140574	0.0162843	0.0023686	-0.0024252	-0.0141141	-0.0169026	-0.0033647	0.0017778
124.0750000	4595.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0202743	0.0223850	-0.0470207	-0.0544847	-0.0203234	-0.0230141	0.0460483	0.0538372
125.6400000	-4609.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0203586	0.0254069	0.0540765	0.0464955	-0.0204087	-0.0260978	-0.0551599	-0.0471251
126.9900000	-30.2199993	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0150987	0.0175277	0.0025745	-0.0026156	-0.0151700	-0.0181573	-0.0035626	0.0019682
128.3400000	4594.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0215546	0.0239165	-0.0469556	-0.0549056	-0.0216209	-0.0245407	0.0459900	0.0542767
129.9900000	-4607.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0216762	0.0269947	0.0545138	0.0464266	-0.0217535	-0.0277004	-0.0556050	-0.0470624
131.3100000	-30.0900002	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0162470	0.0188900	0.0027961	-0.0028225	-0.0163206	-0.0195219	-0.0037738	0.0021905
132.6900000	4593.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0229198	0.0255293	-0.0468804	-0.0553528	-0.0229960	-0.0261652	0.0459254	0.0547345
134.4100000	-4605.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0230749	0.0286826	0.0549858	0.0463576	-0.0231579	-0.0293793	-0.0560531	-0.0469838
135.7150000	-29.8500004	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0174636	0.0203498	0.0030342	-0.0030480	-0.0175510	-0.0209794	-0.0040054	0.0024253
137.1250000	4591.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0243571	0.0272392	-0.0467949	-0.0558247	-0.0244563	-0.0278857	0.0458505	0.0552114
138.6750000	-4604.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0244933	0.0303887	0.0554626	0.0462832	-0.0245850	-0.0310850	-0.0565141	-0.0468966
140.0100000	-30.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0187153	0.0218471	0.0032828	-0.0032825	-0.0188203	-0.0224872	-0.0042427	0.0026633
141.3400000	4591.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0257853	0.0289332	-0.0467103	-0.0562882	-0.0258912	-0.0295792	0.0457844	0.0556954
143.0500000	-4602.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0259715	0.0321732	0.0559609	0.0462051	-0.0260859	-0.0328776	-0.0569956	-0.0468129
144.4900000	-29.9500008	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0200700	0.0234756	0.0035514	-0.0035345	-0.0202042	-0.0241265	-0.0045039	0.0029263
145.7700000	4590.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0273384	0.0307832	-0.0466262	-0.0568062	-0.0274659	-0.0314404	0.0457029	0.0562147
147.1650000	-4602.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0274882	0.0339958	0.0564641	0.0461267	-0.0275840	-0.0346655	-0.0574918	-0.0467340
148.3950000	-29.9899998	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0213478	0.0249861	0.0037934	-0.0037724	-0.0214731	-0.0256377	-0.0047433	0.0031675
149.8050000	4588.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0288277	0.0325541	-0.0465519	-0.0573066	-0.0289716	-0.0332185	0.0456304	0.0567184
151.4000000	-4601.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0290059	0.0358311	0.0569913	0.0460563	-0.0291468	-0.0365360	-0.0580019	-0.0466569
152.7600000	-30.0200005	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0228353	0.0267608	0.0040848	-0.0040486	-0.0229665	-0.0274048	-0.0050218	0.0034459
154.0450000	4587.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0304227	0.0344426	-0.0464792	-0.0578456	-0.0305635	-0.0351000	0.0455661	0.0572491
