Fri, Mar 07, 2025
3:00:41 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0200000	-4611.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0185722	0.0238456	0.0764959	0.0696736	-0.0186866	-0.0246932	-0.0778754	-0.0704011
97.2900000	-30.4899998	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0128197	0.0147652	0.0021752	-0.0020366	-0.0129452	-0.0154942	-0.0033586	0.0012940
98.6600000	4596.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0200065	0.0214512	-0.0702047	-0.0775544	-0.0201119	-0.0221897	0.0690230	0.0767987
100.2150000	-4611.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0199605	0.0255475	0.0771453	0.0697118	-0.0200688	-0.0264028	-0.0784850	-0.0704249
101.5500000	-30.2399998	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0139153	0.0161043	0.0024143	-0.0022613	-0.0140612	-0.0168458	-0.0035867	0.0015294
102.8850000	4595.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0214738	0.0231922	-0.0702207	-0.0781846	-0.0215896	-0.0239373	0.0690529	0.0774482
104.4150000	-4610.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0214091	0.0273501	0.0777916	0.0697339	-0.0215391	-0.0282107	-0.0791201	-0.0704363
105.6950000	-30.1599998	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0150753	0.0174621	0.0026229	-0.0024512	-0.0152289	-0.0182156	-0.0037938	0.0017398
107.1150000	4594.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0229895	0.0249703	-0.0702230	-0.0787262	-0.0231355	-0.0257348	0.0690598	0.0780138
108.6500000	-4609.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0229680	0.0292285	0.0783841	0.0697483	-0.0231089	-0.0300885	-0.0796886	-0.0704339
109.9350000	-30.2500000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0163429	0.0189499	0.0028511	-0.0026579	-0.0165027	-0.0197064	-0.0040189	0.0019523
111.2500000	4594.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0245681	0.0268079	-0.0702115	-0.0792677	-0.0247279	-0.0275910	0.0690583	0.0785686
112.9000000	-4607.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0246019	0.0311989	0.0789935	0.0697333	-0.0247638	-0.0320733	-0.0802845	-0.0704171
114.3450000	-30.0499992	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0177218	0.0205838	0.0031080	-0.0029048	-0.0179019	-0.0213622	-0.0042707	0.0022056
115.6400000	4593.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0263276	0.0288699	-0.0701976	-0.0798891	-0.0265002	-0.0296793	0.0690444	0.0792103
117.2450000	-4607.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0263620	0.0333095	0.0795986	0.0697019	-0.0265383	-0.0341870	-0.0808773	-0.0703781
118.7000000	-30.1900005	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0191873	0.0223217	0.0033866	-0.0031626	-0.0193759	-0.0231087	-0.0045418	0.0024696
119.9900000	4592.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0281540	0.0310150	-0.0701393	-0.0805070	-0.0283325	-0.0318150	0.0689900	0.0798300
121.5800000	-4606.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0281972	0.0355060	0.0802330	0.0696508	-0.0284000	-0.0364055	-0.0815032	-0.0703256
123.0600000	-30.0499992	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0207394	0.0241743	0.0036904	-0.0034505	-0.0209384	-0.0249633	-0.0048345	0.0027606
124.4550000	4591.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0300948	0.0333024	-0.0700679	-0.0811702	-0.0302902	-0.0341229	0.0689253	0.0804922
126.0500000	-4606.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0301975	0.0378713	0.0808772	0.0695800	-0.0303870	-0.0387624	-0.0821428	-0.0702525
127.3250000	-30.0799999	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0223689	0.0260932	0.0039906	-0.0037370	-0.0225648	-0.0268861	-0.0051345	0.0030480
128.5900000	4591.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0319900	0.0355345	-0.0699854	-0.0817827	-0.0321876	-0.0363559	0.0688508	0.0811250
130.1650000	-4606.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0320904	0.0401388	0.0815126	0.0694928	-0.0322937	-0.0410394	-0.0827637	-0.0701665
131.5250000	-29.9699993	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0240224	0.0280536	0.0042969	-0.0040414	-0.0242297	-0.0288584	-0.0054422	0.0033647
132.8750000	4590.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0339991	0.0379086	-0.0698882	-0.0824487	-0.0342183	-0.0387500	0.0687534	0.0817925
134.5400000	-4606.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0341696	0.0426397	0.0822024	0.0693925	-0.0343863	-0.0435378	-0.0834504	-0.0700592
135.8200000	-30.0300007	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0258144	0.0301825	0.0046413	-0.0043710	-0.0260338	-0.0309985	-0.0057870	0.0036955
137.0950000	4590.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0360692	0.0403499	-0.0697860	-0.0831255	-0.0362958	-0.0412013	0.0686486	0.0824785
138.7550000	-4605.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0362512	0.0451466	0.0828988	0.0692804	-0.0364831	-0.0460482	-0.0841350	-0.0699450
140.0500000	-30.1000004	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0276575	0.0323801	0.0050021	-0.0047094	-0.0278850	-0.0332028	-0.0061411	0.0040471
141.3250000	4589.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0382045	0.0428874	-0.0696648	-0.0838265	-0.0384470	-0.0437439	0.0685376	0.0831917
143.0300000	-4603.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0384162	0.0477648	0.0836305	0.0691660	-0.0386836	-0.0486796	-0.0848562	-0.0698164
144.4450000	-30.1399994	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0296701	0.0347856	0.0053937	-0.0050908	-0.0299256	-0.0356291	-0.0065379	0.0044337
145.7700000	4586.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0405543	0.0456799	-0.0695377	-0.0846029	-0.0408173	-0.0465495	0.0684168	0.0839847
147.3450000	-4603.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0407387	0.0505520	0.0844064	0.0690480	-0.0410076	-0.0514674	-0.0856299	-0.0696851
148.6250000	-30.2999992	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0316805	0.0371793	0.0057922	-0.0054602	-0.0319448	-0.0380344	-0.0069218	0.0048254
150.0800000	4588.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0428964	0.0484618	-0.0694105	-0.0853815	-0.0431721	-0.0493332	0.0683088	0.0847801
151.6750000	-4603.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0431130	0.0534145	0.0852205	0.0689330	-0.0434030	-0.0543355	-0.0864144	-0.0695640
153.0050000	-30.0699997	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0338722	0.0398033	0.0062187	-0.0058702	-0.0341521	-0.0406495	-0.0073258	0.0052498
154.2950000	4589.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0452786	0.0512905	-0.0692874	-0.0861775	-0.0455716	-0.0521600	0.0682073	0.0855883
